Risk_Cluster,Return_Cluster,Price_Quartile,Investment_Term,Stock_Count,Stock_Codes
0,0,0,long,0,[]
0,0,0,short,0,[]
0,0,1,long,0,[]
0,0,1,short,0,[]
0,0,2,long,0,[]
0,0,2,short,0,[]
0,0,3,long,0,[]
0,0,3,short,0,[]
0,1,0,long,17,"['APA', 'BBWI', 'DVN', 'EQT', 'FCX', 'HAL', 'HWM', 'MGM', 'MRO', 'NVDA', 'OKE', 'ON', 'OXY', 'TPR', 'TRGP', 'UBER', 'WDC']"
0,1,0,short,4,"['MGM', 'NVDA', 'UBER', 'WDC']"
0,1,1,long,12,"['AMD', 'BLDR', 'BX', 'DFS', 'FANG', 'HES', 'MCHP', 'MPC', 'MU', 'RCL', 'TER', 'VLO']"
0,1,1,short,3,"['AMD', 'DFS', 'TER']"
0,1,2,long,6,"['AMAT', 'AXON', 'CRWD', 'FSLR', 'NXPI', 'SMCI']"
0,1,2,short,4,"['AMAT', 'CRWD', 'NXPI', 'SMCI']"
0,1,3,long,7,"['AMP', 'KLAC', 'LRCX', 'META', 'MPWR', 'TSLA', 'URI']"
0,1,3,short,5,"['AMP', 'KLAC', 'LRCX', 'META', 'MPWR']"
0,2,0,long,6,"['CFG', 'DAL', 'FITB', 'PCG', 'SLB', 'SYF']"
0,2,0,short,0,[]
0,2,1,long,1,['LYV']
0,2,1,short,0,[]
0,2,2,long,4,"['COF', 'EXPE', 'QRVO', 'SPG']"
0,2,2,short,3,"['EXPE', 'QRVO', 'SWKS']"
0,2,3,long,0,[]
0,2,3,short,1,['BA']
1,0,0,long,29,"['BSX', 'CNP', 'CPB', 'CTRA', 'EBAY', 'FAST', 'FE', 'FOX', 'FOXA', 'GEN', 'INVH', 'JCI', 'JNPR', 'KDP', 'KMI', 'KO', 'KR', 'LNT', 'MNST', 'MO', 'NDAQ', 'NI', 'PPL', 'ROL', 'T', 'TAP', 'UDR', 'WMT', 'WRB']"
